Vacancy;Company;Location
Analog/Mixed-Signal IP Mask Layout Designer(s)- Cork, Ireland;Qualcomm;Cork, County Cork, Ireland
PLM Data Entry Specialist;MELEXIS;Sofia, Sofia City, Bulgaria
Principal Design engineer PDK-CAD;Cadence Design Systems;Bengaluru, Karnataka, India
Senior Engineer I-Computer Aided Design;Microchip Technology Inc.;San Jose, CA
CAD & IT Support Engineer;智芯半导体;Suzhou, Jiangsu, China
